Image,Size,Width,Hight,Noise(Sigma),Tesseract_Success
image5.jpg,0.022,500,250,0.000000,1
image7.jpg,0.042,500,250,30.292900,1
image13.jpg,0.042,2000,1267,0.000000,1
image12.jpg,0.098,2001,1271,0.000000,1
image10.jpg,0.386,720,1480,0.000000,1
image6.jpg,0.155,2001,1271,0.000000,1
image11.jpg,0.498,977,1278,0.000000,1
image9.jpg,0.567,1080,1920,0.000000,1
image8.jpg,0.567,1080,1920,0.000000,1
image2.jpg,0.067,500,300,0.506318,1
image3.jpg,0.053,1382,190,0.000000,1
image1.jpg,1,1066,1194,0.314934,1
That took 14.078089952468872 seconds
